Unnamed__0,title,imdb_rating
269,thirteen days,7.3
270,traffic,7.8
271,the wedding planner,4.8
272,hannibal,6.4
273,down to earth,5.0
274,the mexican,5.9
275,enemy at the gates,7.4
276,exit wounds,5.2
277,someone like you,5.8
278,spy kids,5.7
279,along came a spider,6.1
280,blow,7.4
281,joe dirt,5.4
282,crocodile dundee in los angeles,4.6
283,driven,4.2
284,the mummy returns,6.2
285,shrek,8.0
286,pearl harbor,5.4
287,the animal,4.6
288,evolution,5.9
289,swordfish,6.3
290,the fast and the furious,6.0
291,baby boy,6.1
292,scary movie 2,4.7
293,kiss of the dragon,6.3
294,legally blonde,6.2
295,the score,6.8
296,planet of the apes,5.5
297,the princess diaries,5.9
298,rush hour 2,6.4
299,captain corelli's mandolin,5.7
300,rat race,6.4
301,jay and silent bob strike back,6.8
302,the musketeer,4.4
303,hardball,4.1
304,zoolander,6.4
305,serendipity,6.6
306,training day,7.6
307,bandits,6.5
308,from hell,6.8
309,riding in cars with boys,6.2
310,k-pax,7.3
311,domestic disturbance,5.3
312,"monsters, inc.",7.4
313,the one,5.6
314,heist,3.2
315,shallow hal,6.0
316,spy game,6.9
317,in the bedroom,7.5
318,ocean's eleven,7.6
319,the royal tenenbaums,7.6
320,vanilla sky,6.9
321,a beautiful mind,8.0
322,joe somebody,5.3
323,the majestic,6.8
324,ali,6.6
325,gosford park,7.3
326,monster's ball,7.2
327,black hawk down,7.7
328,snow dogs,4.9
329,the count of monte cristo,7.6
330,a walk to remember,7.1
331,big fat liar,5.2
332,john q,6.6
333,dragonfly,5.8
334,40 days and 40 nights,5.4
335,all about the benjamins,5.3
336,ice age,7.4
337,resident evil,6.4
338,showtime,5.3
339,clockstoppers,5.0
340,panic room,6.9
341,high crimes,6.1
342,my big fat greek wedding,6.6
343,murder by numbers,5.9
344,the scorpion king,5.3
345,spider-man,7.4
346,unfaithful,6.6
347,about a boy,7.4
348,enough,6.5
349,insomnia,6.3
350,the sum of all fears,6.3
351,undercover brother,5.7
352,bad company,5.3
353,the bourne identity,7.7
354,scooby-doo,4.7
355,windtalkers,5.8
356,minority report,7.7
357,like mike,4.4
358,k-19: the widowmaker,6.5
359,stuart little 2,5.6
360,austin powers in goldmember,6.2
361,signs,6.9
362,blood work,6.3
363,xxx,5.5
364,barbershop,6.2
365,sweet home alabama,5.8
366,red dragon,7.3
367,the transporter,6.6
368,the ring,5.5
369,i spy,5.3
370,8 mile,6.7
371,harry potter and the chamber of secrets,7.2
372,die another day,6.0
373,analyze that,5.6
374,maid in manhattan,4.6
375,about schmidt,7.3
376,gangs of new york,7.4
377,catch me if you can,5.7
378,chicago,7.2
379,the hours,7.6
380,just married,5.1
381,final destination 2,6.4
382,how to lose a guy in 10 days,6.1
383,shanghai knights,6.2
384,daredevil,5.5
385,old school,7.0
386,cradle 2 the grave,5.4
387,bringing down the house,5.4
388,tears of the sun,6.4
389,the hunted,5.8
390,dreamcatcher,5.3
391,basic,6.3
392,head of state,5.1
393,the core,5.3
394,a man apart,5.7
395,phone booth,7.2
396,what a girl wants,5.7
397,anger management,6.1
398,holes,7.1
399,identity,7.3
400,daddy day care,5.5
401,the matrix reloaded,7.1
402,bruce almighty,6.6
403,finding nemo,8.2
404,the italian job,6.9
405,2 fast 2 furious,5.1
406,hollywood homicide,5.2
407,hulk,5.7
408,28 days later...,7.6
409,the league of extraordinary gentlemen,5.5
410,bad boys ii,6.2
411,seabiscuit,7.4
412,freaky friday,6.5
413,freddy vs. jason,5.8
414,open range,7.5
415,once upon a time in mexico,6.2
416,lost in translation,7.9
417,underworld,6.7
418,out of time,4.9
419,mystic river,8.0
420,kill bill: volume 1,8.2
421,intolerable cruelty,6.4
422,scary movie 3,5.4
423,the matrix revolutions,6.5
424,elf,6.8
425,master and commander: the far side of the world,7.5
426,bad santa,7.3
427,the missing,7.4
428,honey,4.6
429,the last samurai,7.8
430,big fish,8.1
431,something's gotta give,6.8
432,stuck on you,5.9
433,mona lisa smile,6.1
434,cheaper by the dozen,5.6
435,cold mountain,7.3
436,paycheck,6.1
437,peter pan,7.1
438,50 first dates,6.8
439,the passion of the christ,7.1
440,twisted,4.8
441,hidalgo,6.6
442,starsky & hutch,6.2
443,secret window,6.5
444,dawn of the dead,7.4
445,eternal sunshine of the spotless mind,8.5
446,jersey girl,6.2
447,the ladykillers,6.2
448,hellboy,6.8
449,walking tall,6.0
450,man on fire,7.7
451,mean girls,7.0
452,van helsing,5.5
453,troy,7.0
454,shrek 2,7.5
455,raising helen,5.7
456,the day after tomorrow,6.3
457,harry potter and the prisoner of azkaban,7.7
458,napoleon dynamite,6.9
