Unnamed__0,production_budget,rotten_tomatoes_rating
396,25000000,34
397,56000000,43
398,20000000,77
399,28000000,62
400,60000000,28
401,127000000,73
402,81000000,48
403,94000000,98
404,60000000,73
405,76000000,36
406,75000000,30
407,137000000,62
408,15000000,89
409,78000000,17
410,130000000,24
411,86000000,77
412,26000000,88
413,25000000,41
414,26000000,79
415,29000000,68
416,4000000,94
417,22000000,30
418,50000000,65
419,30000000,87
420,55000000,85
421,60000000,75
422,45000000,37
423,110000000,37
424,32000000,84
425,135000000,85
426,18000000,77
427,65000000,59
428,18000000,20
429,120000000,65
430,70000000,77
431,80000000,70
432,55000000,60
433,65000000,35
434,40000000,24
435,80000000,70
436,60000000,28
437,100000000,76
438,75000000,44
439,25000000,50
440,50000000,2
441,78000000,46
442,60000000,64
443,40000000,46
444,28000000,76
445,20000000,93
446,35000000,40
447,35000000,54
448,60000000,81
449,56000000,25
450,60000000,38
451,18000000,83
452,170000000,22
453,150000000,54
454,70000000,89
455,50000000,22
456,125000000,46
457,130000000,90
458,400000,70
459,120000000,29
460,100000000,26
461,110000000,30
462,75000000,60
463,6000000,83
464,20000000,15
465,30000000,52
466,200000000,93
467,90000000,31
468,85000000,81
469,2500000,86
470,80000000,81
471,71682975,42
472,60000000,86
473,45000000,54
474,60000000,40
475,75000000,35
476,30000000,81
477,17000000,97
478,92000000,97
479,170000000,56
480,57000000,18
481,25000000,82
482,100000000,44
483,155000000,16
484,35000000,68
485,50000000,53
486,85000000,55
487,30000000,91
488,110000000,88
489,100000000,71
490,75000000,52
491,60000000,38
492,55000000,33
493,45000000,21
494,26000000,84
495,20000000,12
496,20000000,1
497,55000000,69
498,75000000,46
499,75000000,30
500,56000000,20
501,80000000,64
502,40000000,77
503,90000000,58
504,6500000,75
505,45000000,16
506,82000000,31
507,75000000,55
508,88000000,80
509,150000000,84
510,80000000,24
511,87500000,27
512,150000000,82
513,53000000,13
514,30000000,52
515,18000000,45
516,39000000,81
517,30000000,95
518,50000000,19
519,54000000,28
520,18000000,5
521,5000000,36
522,80000000,26
523,60000000,36
524,72000000,61
525,150000000,88
526,29000000,82
527,13900000,87
528,85000000,36
529,207000000,83
530,60000000,7
531,16000000,51
532,232000000,76
533,225000000,54
534,135000000,47
535,12000000,19
536,33000000,68
537,20000000,3
538,60000000,33
539,30000000,41
540,55000000,11
541,60000000,33
542,6000000,87
543,20000000,26
544,15000000,97
545,90000000,93
546,14000000,79
547,20000000,16
548,40000000,75
549,14000000,76
550,10000000,25
551,149000000,72
552,35000000,24
553,30000000,72
554,14000000,46
555,12000000,50
556,85000000,74
557,102000000,94
558,35000000,51
559,35000000,37
560,40000000,64
561,100000000,62
562,85000000,47
563,82500000,78
564,75000000,78
565,32000000,32
566,55000000,66
567,13000000,91
568,110000000,43
569,76000000,93
570,63700000,58
571,30000000,66
572,20000000,4
573,21000000,69
574,20000000,2
575,17000000,28
576,50000000,15
577,120000000,26
578,32000000,8
579,60000000,60
580,14000000,19
581,20000000,63
582,60000000,48
583,40000000,8
584,20000000,68
585,16000000,91
586,55000000,28
587,258000000,63
588,20000000,17
589,300000000,45
590,27500000,90
591,85000000,70
592,175000000,23
593,15000000,78
594,4000000,78
595,110000000,82
596,150000000,96
597,35000000,7
598,151000000,57
599,150000000,78
600,75000000,91
601,85000000,14
602,40000000,74
603,72500000,89
604,130000000,93
605,180000000,19
606,70000000,76
607,20000000,61
608,17500000,87
609,48000000,89
610,23000000,73
611,20000000,82
612,45000000,22
613,22000000,27
614,72500000,51
615,28000000,56
616,27500000,46
617,100000000,79
618,150000000,51
619,35000000,27
620,150000000,70
621,45000000,27
622,5000000,44
623,85000000,92
624,13000000,73
625,7000000,93
626,30000000,83
627,55000000,27
628,20000000,66
629,150000000,69
630,15000000,79
631,27500000,23
632,30000000,5
633,55000000,64
634,186000000,94
635,60000000,18
636,137500000,66
637,180000000,96
638,75000000,71
639,185000000,93
640,175000000,13
641,90000000,83
642,15000000,40
643,65000000,41
644,25000000,39
645,45000000,7
646,20000000,2
647,45000000,9
648,60000000,20
649,20000000,85
650,20000000,46
651,20000000,15
652,80000000,27
653,500000,40
654,2500000,69
655,20000000,12
656,10000000,73
657,12000000,86
658,67500000,52
659,38000000,53
660,24000000,65
661,14000000,94
662,37000000,50
663,29000000,92
664,33000000,61
665,6000000,98
666,60000000,55
667,50000000,43
668,160000000,72
669,75000000,61
670,26000000,35
671,60000000,40
672,50000000,32
673,20000000,28
674,175000000,72
675,60000000,84
676,25000000,17
677,30000000,92
678,175000000,98
679,21000000,66
680,35000000,78
681,100000000,26
682,55000000,38
683,40000000,43
684,60000000,14
685,210000000,20
686,27500000,48
687,250000000,83
688,30000000,91
689,70000000,88
690,29000000,48
691,100000000,86
692,15000,82
693,80000000,39
694,23600000,89
695,60000000,12
696,6400000,94
697,53000000,25
698,100000000,73
699,11000000,42
700,24000000,53
701,200000000,39
702,25000000,84
703,30000000,64
704,8300000,40
705,210000000,43
706,160000000,87
707,85000000,81
708,37000000,84
